School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Columbia,3.9,325.0,Traditional Two-Year,,2024-03-20,Round 2,,No notice of financial aid or scholarships received. Interviewed in February.
Columbia,3.91,325.0,Traditional Two-Year,Central & Eastern Europe,2024-03-20,Round 2,,Received an e-mail regarding portal update at 2:25pm EST.
Cambridge / Judge,3.15,325.0,One Year Program,NYC,2023-11-29,Round 2,,
MIT Sloan,3.7,325.0,,Canada,2019-12-18,Round 1,Entrepreneurship,10:30 ET
Columbia,3.51,325.0,Traditional Two-Year,London,2023-02-09,Rolling Admissions,Consulting,Applied- December 12th; Interview invite- January 6th; Interviewed January 26th; feedback submitted January 31st; admitted via email just now (10:30 pm London time). Can’t believe it! Had just sent an email to adcom on Wednesday asking for an expedited decision as I had a pending deposit deadline for Stern and it all worked out! Thought this was a long shot given I applied RD and had average stats but wow so excited!
Yale SOM,3.85,325.0,Traditional Two-Year,,2023-12-05,Round 1,Non Profit / Social Impact,Dean’s scholarship + Forte Fellow
Yale SOM,3.4,325.0,Traditional Two-Year,,2023-03-24,Round 2,,SO EXCITED - this has been my top choice since the beginning! Makes the Wharton ding yesterday feel totally inconsequential :)
Yale SOM,3.51,325.0,Traditional Two-Year,London,2023-03-24,Round 2,Consulting,Admitted with $30k a year scholarship! Yale certainly is going to make my decision even harder! 🙈 thanks for all the help and a great way to start the weekend!
Columbia,3.75,325.0,Traditional Two-Year,,2023-12-13,Round 1,Finance,
Yale SOM,3.25,325.0,,,2019-04-02,Round 2,,
Berkeley / Haas,3.8,325.0,Traditional Two-Year,,2022-05-13,Round 1,Entrepreneurship,Was on the waitlist since R1. Got a call congratulating on admission. Grateful for their time and offer but will be heading to the GSB.
Columbia,3.6,325.0,,"New York, NY",2019-05-28,Rolling Admissions,Finance,"Applied 1/20, Waitlisted 3/8, Accepted 5/28."
Stanford GSB,3.8,325.0,One Year Program,West Coast,2022-03-30,Round 2,Entrepreneurship,Stanford MSx
Berkeley / Haas,3.75,325.0,Traditional Two-Year,South Asia,2024-03-19,Round 2,Non Profit / Social Impact,
Yale SOM,325.0,325.0,Traditional Two-Year,NYC,2023-12-07,Round 1,,
Columbia,3.4,325.0,Traditional Two-Year,NY,2023-03-06,Rolling Admissions,Technology,"Interview 2/27, Interview feedback 2/28, decision 3/6"
Columbia,3.8,325.0,Traditional Two-Year,NYC,2023-03-03,Rolling Admissions,Finance,"Applied 1/11, Interview 2/20, Feedback 2/22, Acceptance call 2/28. Interview was extremely casual, got to ask the alum lots about his experience and career since."
MIT Sloan,3.51,325.0,,DC,2020-12-14,Round 1,Technology,LGO Candidate
MIT Sloan,2.86,325.0,Traditional Two-Year,NC,2024-04-04,Round 2,,
Stanford GSB,3.1,325.0,Traditional Two-Year,Africa,2021-12-10,Round 1,Technology,This is for all my moonshots out there.
Cambridge / Judge,3.4,325.0,,U.S.,2020-12-08,Round 2,Non Profit / Social Impact,Wildly excited!
Harvard Business School,3.5,325.0,Traditional Two-Year,NYC,2021-12-09,Round 1,Entrepreneurship,
MIT Sloan,3.75,325.0,Traditional Two-Year,South Asia,2024-04-04,Round 2,Non Profit / Social Impact,Received the call from my interviewer!
Yale SOM,3.9,325.0,,NYC,2018-03-27,Round 2,Consulting,
Columbia,3.4,325.0,,USA,2021-03-04,Round 2,Technology,"My GMAT score conversion would have been a 670. Goes to show there is hope for someone with below average stats! Fingers crossed for GSB, HBS, Wharton, and Sloan as well. Will keep y'all posted!"
Columbia,3.65,325.0,Traditional Two-Year,New York,2024-03-25,Round 2,,"Received decision on the 20th via portal, update to account today regarding financial aid (received none). Only applied to CBS, unsure of what I'll do given the financial aid decision."
Columbia,3.6,325.0,Traditional Two-Year,NYC,2024-03-21,Round 2,Finance,Didn't have the greatest stats but I went hard at CBS and am glad they recognized that. Congrats to all accepted.
Berkeley / Haas,3.66,325.0,,Los Angeles,2020-12-14,Round 1,,Received around 3pm pst
Yale SOM,3.65,325.0,,Midwest,2018-12-05,Round 1,Consulting,
Columbia,3.8,325.0,,,2018-05-29,Rolling Admissions,,
Columbia,3.8,325.0,,,2018-05-30,Rolling Admissions,,
Yale SOM,3.2,325.0,Traditional Two-Year,,2024-03-26,Round 2,Consulting,Vet
Columbia,3.6,325.0,Traditional Two-Year,NYC,2021-11-11,Early Decision,Finance,"Applied 10/6. Interviewed 10/29, feedback submitted same day. Accepted 11/11 via phone call"
Columbia,3.56,325.0,Traditional Two-Year,San Francisco,2021-11-19,Early Decision,,"Submitted 10/4, interview invite 10/25, interviewed 11/2, interview feedback submitted 11/5, admitted 11/19. Good luck to everyone!"
Berkeley / Haas,3.6,325.0,,NorCal,2020-12-15,Round 1,Marketing,Consortium fellowship
Stanford GSB,3.7,325.0,,midwest US,2020-12-09,Round 1,Non Profit / Social Impact,"5+ years of tech/product management experience currently. had a low quant gre score, which almost prevented me from applying (so glad I did though!)"
Berkeley / Haas,4.0,325.0,,UK,2020-03-25,Round 2,,
Yale SOM,3.96,325.0,,,2021-03-26,Round 2,,"Nice phone call. Tried to be personal. No mention of scholarship. Honestly, not really sure what one even needs to do to get one. GRE aside, my profile is pretty unique."
Columbia,3.85,325.0,Traditional Two-Year,NYC,2024-03-21,Round 2,,
Columbia,3.94,325.0,,Maryland,2020-12-30,Rolling Admissions,Consulting,Applied 10/6. Interview invite on 12/17. Interview 12/22.
MIT Sloan,3.88,325.0,,Boston,2020-12-14,Round 1,Operations Management,LGO
MIT Sloan,3.8,325.0,,East Coast,2020-12-16,Round 1,,Call from interviewer just now
Harvard Business School,3.88,325.0,,Boston,2020-12-11,Round 1,Operations Management,
MIT Sloan,3.6,325.0,Traditional Two-Year,USA,2021-12-15,Round 1,Entrepreneurship,Phone call ~2:30pm EST
Berkeley / Haas,2.85,324.0,Traditional Two-Year,,2024-04-29,Round 2,Consulting,"Never thought I would get in anywhere because of my GPA. Don't lose hope, there's a lot more to your application than just stats."
Harvard Business School,3.9,324.0,Traditional Two-Year,"New York, NY",2024-03-27,Round 2,Technology,Thrilled! Always was anxious about my test score (160 Q) but made it!
MIT Sloan,3.6,324.0,Traditional Two-Year,Colombia,2022-12-14,Round 1,Finance,
Columbia,3.699,324.0,Traditional Two-Year,"Austin, TX",2021-10-26,Early Decision,Non Profit / Social Impact,"applied 9/9, interview invite 10/8, interview 10/13, accepted 10/25"
Stanford GSB,3.69,324.0,Traditional Two-Year,Texas,2024-03-26,Round 2,Other,Military. Got the call ~2:30 PT
Columbia,3.7,324.0,,,2018-09-21,Rolling Admissions,Consulting,"Timeline: Applied: 12 August, Interview invite: 7 September, Interview: 13 September and feedback submission 15 September. Finally, acceptance call 20 September."
Yale SOM,3.59,324.0,Traditional Two-Year,"Washington, DC",2023-03-24,Round 2,Consulting,Super excited and surprised because I interviewed very late - awesome news on Friday :)
Oxford / Saïd,2.96,324.0,,,2020-07-10,Round 5,Non Profit / Social Impact,
MIT Sloan,4.0,324.0,Traditional Two-Year,Florida,2022-12-14,Round 1,Entrepreneurship,
Berkeley / Haas,3.8,324.0,Traditional Two-Year,San Francisco,2023-03-22,Round 2,Consulting,Got the call from an admissions officer today. Totally stoked as Haas is my top choice. She mentioned that scholarship info would be released through the portal tomorrow.
Berkeley / Haas,3.76,324.0,Traditional Two-Year,Dallas,2023-12-06,Round 1,Consulting,
MIT Sloan,3.7,324.0,,Kenya,2019-12-18,Round 1,Entrepreneurship,
MIT Sloan,3.56,324.0,Traditional Two-Year,USA,2024-04-05,Round 2,Consulting,
Columbia,2.85,324.0,,Asia,2020-08-27,Rolling Admissions,General Management,I also used EA163.
Yale SOM,3.65,324.0,Traditional Two-Year,Washington D.C.,2022-12-07,Round 1,Finance,
Columbia,3.2,324.0,Traditional Two-Year,NJ/NY,2023-03-10,Early Decision,Consulting,"Reapplicant, applied early decision 9/21, interviewed 10/31 at on campus event, waitlisted 11/9, had a call with my waitlist manager 12/16. sent 2 updates between jan and mid feb (promotion, completed MBAmath) and had an updated recommendation letter sent on my behalf. so excited to be joining CBS this fall!"
Yale SOM,4.0,324.0,,United States,2020-12-08,Round 1,Non Profit / Social Impact,
Stanford GSB,3.2,324.0,Traditional Two-Year,Washington D.C.,2022-12-07,Round 1,Technology,
Harvard Business School,3.65,324.0,Traditional Two-Year,Washington D.C.,2022-12-12,Round 1,Finance,
Harvard Business School,3.69,324.0,Traditional Two-Year,Chicago,2021-12-09,Round 1,Consulting,at a loss of words. I can't believe this is true
Harvard Business School,3.78,324.0,Traditional Two-Year,,2023-04-13,Round 2,Healthcare,"MS/MBA life sciences program. Ecstatic, and so relieved lol. Happy to answer any questions"
Columbia,3.68,324.0,,Brooklyn,2018-12-11,Rolling Admissions,Technology,got the call on Saturday!
MIT Sloan,3.1,324.0,Traditional Two-Year,"Arlington, VA",2022-04-04,Round 3,Consulting,in with a significant fellowship as well. good luck everyone
Berkeley / Haas,3.73,324.0,,,2018-12-11,Round 1,Healthcare,
Berkeley / Haas,3.68,324.0,,Kenya,2019-12-10,Round 1,Entrepreneurship,
Berkeley / Haas,3.78,324.0,Traditional Two-Year,"Cape Town, South Africa",2024-03-21,Round 2,Non Profit / Social Impact,"Anyone know when the portal will be updated with scholarship information. Regardless, stoked!"
Harvard Business School,3.67,324.0,Traditional Two-Year,Singapore,2021-12-09,Round 1,Entrepreneurship,
Berkeley / Haas,3.2,324.0,,DC,2019-12-11,Round 1,Technology,
Berkeley / Haas,3.45,324.0,Traditional Two-Year,"San Francisco, CA",2024-03-21,Round 2,Finance,Received the call around 11:30 am PST. Honestly had given up hope and didn't expect a positive outcome - very excited!!
Oxford / Saïd,3.7,324.0,,London,2017-12-08,Round 1,Finance,
Yale SOM,3.6,324.0,,USA,2019-12-11,Round 1,,
Columbia,3.69,324.0,Traditional Two-Year,Chicago,2021-12-07,Round 1,Consulting,"Applied via Consortium. Submitted 10/15, Interviewed 11/21, Accepted via call on 12/7. First acceptance and I'm pumped!"
Yale SOM,3.69,324.0,Traditional Two-Year,Texas,2024-03-26,Round 2,Other,Military. Received call ~12:30 ET
Columbia,3.7,324.0,Traditional Two-Year,London,2023-12-13,Round 1,Non Profit / Social Impact,
Harvard Business School,3.86,324.0,Traditional Two-Year,New York NY,2023-03-29,Round 2,General Management,"coming from 7 years in brand strategy and advertising - for all those with less than stellar test scores, you CAN do it, don’t give up"
Columbia,3.79,324.0,Traditional Two-Year,,2022-02-20,Round 2,Consulting,"I was an elementary teacher for 4 years and now work for a state department of ed. To say my CBS acceptance was a surprise is an understatement. I am absolutely thrilled! The final component of my b-school application process is my Wharton TBD on Wednesday. My fingers are crossed for a Wharton acceptance, but either way, I feel incredibly fortunate to attend CBS in the fall. Wishing all of you the best of luck throughout this process!"
Berkeley / Haas,3.9,324.0,Traditional Two-Year,"Washington, DC",2024-03-21,Round 2,Technology,Got call around 1:30 ET. Still coming!
Yale SOM,3.56,324.0,,,2020-03-14,Round 2,Consulting,Interviewed on 2/14 and received a full-tuition Forté fellowship.
Columbia,3.71,324.0,Traditional Two-Year,NYC,2024-03-20,Round 2,Technology,
Columbia,3.56,324.0,,,2020-03-04,Rolling Admissions,Consulting,Interviewed on 2/24. Interview feedback submitted on 2/24. Accepted on 3/2.
Yale SOM,3.68,324.0,,,2018-12-05,Round 1,Healthcare,
Berkeley / Haas,3.6,324.0,,USA,2019-03-15,Round 2,,
Berkeley / Haas,3.5,323.0,,USA,2018-12-15,Round 1,Consulting,
Berkeley / Haas,3.99,323.0,Traditional Two-Year,New York,2021-12-14,Round 1,Finance,Received a call from admissions around 4 pm EST with scholarship info. I am absolutely over the moon! Good luck to my fellow applicants!
Berkeley / Haas,3.9,323.0,Traditional Two-Year,East Coast US,2023-12-06,Round 1,Healthcare,
Harvard Business School,3.5,323.0,,"New York, NY",2020-12-10,Round 1,Consulting,I am absolutely stunned! SO happy!!
Columbia,3.3,323.0,,New York,2018-03-07,Rolling Admissions,Consulting,"Applied 1/4, interview on 2/2, waitlisted 2/9, off the waitlist & admitted on 3/6. I second everything everyone else who got in off the waitlist said. Make an effort and prove that Columbia is your number 1!"
Berkeley / Haas,3.64,323.0,Traditional Two-Year,SF,2022-12-14,Round 1,Technology,Did not receive call. Instead found out by receiving email notice of addition to Slack group.
Columbia,3.85,323.0,Traditional Two-Year,,2024-05-03,Round 2,Finance,Received a yield call last week. Told adcom I got offer from M7 but CBS is my no.1 choice. Received an admit call from the same adcom an hour ago!
Yale SOM,3.8,323.0,,Austin,2021-05-18,Round 2,Marketing,Keep your head up! It all works out how it is supposed to.
Columbia,3.6,323.0,,USA,2018-10-22,Rolling Admissions,Finance,Jterm. App submitted 9/30. App completed 10/1. Interview invite 10/11. Interview 10/19. Feedback submitted the same day. Call on 10/22. Thrilled to attend CBS in January!
Yale SOM,3.54,323.0,,Ghana,2018-12-05,Round 1,Consulting,Got the call a few minutes ago. Sooo excited!!!!
Columbia,3.29,323.0,Traditional Two-Year,Georgia,2023-12-13,Round 1,Consulting,Military
Columbia,3.93,323.0,Traditional Two-Year,,2021-09-17,Early Decision,Entrepreneurship,"Application completed aug 10, interview invite sep 1, interview and feedback submitted sep 4, heard back from portal on sep 17"
Harvard Business School,4.0,323.0,Traditional Two-Year,,2023-06-29,Round 5,,HBS 2+2
Columbia,3.74,323.0,Traditional Two-Year,California,2022-11-14,Early Decision,Finance,"Applied 9/23, Interview Invite 10/14, Interview 10/25, Feedback Submitted 10/27, Acceptance Call 11/14"
Yale SOM,3.8,323.0,,,2018-03-27,Round 2,Consulting,
MIT Sloan,3.43,323.0,Traditional Two-Year,NYC,2024-05-16,Round 2,Entrepreneurship,Long and ambiguous process but unbelievably grateful to get an acceptance letter. See you there this fall.
Columbia,3.5,323.0,,"New York, NY",2020-10-05,Early Decision,Consulting,"Submitted 8/26, Interview Invite 9/17, Interview 9/24, Feedback Submitted 9/25. Got the call at 11am today!!"
Columbia,3.48,323.0,,,2021-03-10,Rolling Admissions,,
Columbia,3.29,323.0,Traditional Two-Year,,2021-11-19,Early Decision,,"Invite 10/21, Interview 10/30, Feedback Received 11/4, Accepted 11/18"
Stanford GSB,3.76,323.0,,Chicago,2020-03-31,Round 2,Non Profit / Social Impact,
Cambridge / Judge,3.71,323.0,One Year Program,,2023-06-01,Round 5,,
Columbia,3.6,323.0,Traditional Two-Year,,2023-03-09,Round 2,,
Stanford GSB,3.7,322.0,,Keny,2019-12-12,Round 1,Entrepreneurship,
MIT Sloan,3.8,322.0,Traditional Two-Year,NYC,2023-12-12,Round 1,,Portal is updated!
Columbia,3.6,322.0,,,2020-12-22,Rolling Admissions,Finance,"Interviewed last Thursday (12/17), got the call today. Still doesn't seem real!"
Stanford GSB,3.7,322.0,,Keny,2019-12-12,Round 1,Entrepreneurship,
Harvard Business School,3.4,322.0,,,2017-12-12,Round 1,,Can't believe it!
Cambridge / Judge,3.4,322.0,One Year Program,NYC,2023-10-26,Round 1,Finance,
MIT Sloan,4.0,322.0,,India,2020-12-14,Round 1,Non Profit / Social Impact,MIT Sloan Fellows Program. Call from Katy. Dean’s Fellow.
MIT Sloan,3.342,322.0,Traditional Two-Year,New York,2024-05-09,Round 2,Healthcare,"Received the call today right before noon EST from a Cambridge number. Was quite shaky and surprised since it was a week earlier than the school's announced decision deadline. To give clarity for other waitlisted students, I submitted 3 letters total: 1 from a former manager who completed her MBA in Cambridge (so I went for the why Boston angle), 1 from an alum, 1 from myself outlining a professional update + reasons why Sloan + how it all ties to what I can do for Sloan and what it can do for me. I believe these letters were absolutely crucial to convert the waitlist over to an acceptance. I did not visit campus nor did I attend virtual events."
Yale SOM,3.5,322.0,,Italy (US Citizen/Domestic Applicant),2021-03-26,Round 2,Entrepreneurship,"Got into Booth, Wharton, and now Yale SOM!"
MIT Sloan,3.75,322.0,Traditional Two-Year,,2021-12-16,Round 1,Healthcare,
Berkeley / Haas,3.55,322.0,Traditional Two-Year,NYC,2022-03-23,Round 1,Non Profit / Social Impact,"Wow!! Somebody pinch me, because I must be dreaming. I am beyond excited to join the Haas community in the fall. The MBA application process has been an emotional marathon. For those on the waitlist, I feel for you. It's an uneasy feeling, but absolutely worth it!"
Columbia,3.7,322.0,Traditional Two-Year,NYC,2024-03-20,Round 2,Finance,
MIT Sloan,3.3,322.0,,Arizona,2020-03-31,Round 2,Consulting,Got a call at 12:00 ET
Columbia,3.73,322.0,Traditional Two-Year,NYC,2024-03-24,Round 2,Consulting,"T10 undergrad, 5 YOE (non traditional)"
Yale SOM,3.95,322.0,Traditional Two-Year,Boston,2023-12-29,Round 1,Other,$50k scholarship
Stanford GSB,3.84,322.0,,India,2018-03-28,Round 2,Entrepreneurship,"Unbelievable. Dream come true. I was napping, Mom woke me up saying ""Is this the thing? (pointing to the ringing phone with an international number)"" and that was it :)"
Berkeley / Haas,3.77,322.0,Traditional Two-Year,NYC,2024-03-21,Round 2,Finance,
Stanford GSB,3.62,322.0,,San Francisco,2020-07-27,Round 1,Technology,"Kirsten called - offer letter comes Wed! I got into HBS R1, stayed on GSB WL since R1 as well."
MIT Sloan,3.5,322.0,Traditional Two-Year,,2023-12-12,Round 1,Other,
Berkeley / Haas,3.91,322.0,Traditional Two-Year,New York,2022-12-13,Round 1,Technology,Received call at 1:08PM ET. Offered $100k scholarship over two years.
Oxford / Saïd,3.7,322.0,,USA,2019-10-20,Round 1,,
Oxford / Saïd,3.18,322.0,Traditional Two-Year,Nigeria,2023-03-08,Round 3,Finance,STUNNED!!!!
Stanford GSB,4.0,322.0,,Europe,2020-12-09,Round 1,Entrepreneurship,To all people applying in the future: DO NOT think your GRE/GMAT can stop you. You are more than a grade and it is true that they evaluate your application in a holistic way. Stanford was my dream school and I almost did not apply because of my GRE. Good luck to everybody!!
Oxford / Saïd,2.6,322.0,One Year Program,Southeast Asia,2023-03-08,Round 3,Consulting,
Columbia,3.6,322.0,Traditional Two-Year,Los Angeles,2023-03-10,Round 2,,Applied 12/18
Stanford GSB,3.66,321.0,Traditional Two-Year,Boston,2024-03-26,Round 2,Healthcare,Received the call around 4pm. So so happy!!
Stanford GSB,3.7,321.0,,Africa,2019-03-28,Round 1,Finance,Offered Full Ride too
Oxford / Saïd,3.88,321.0,,Tokyo,2019-03-22,Round 3,Marketing,
Yale SOM,3.1,321.0,,Midwest,2019-12-04,Round 1,Technology,
Columbia,3.8,321.0,,,2018-03-02,Round 2,Consulting,
MIT Sloan,3.66,321.0,Traditional Two-Year,Boston,2024-04-04,Round 2,Healthcare,Received the call around 11am EST with a portal update around 445pm.
Berkeley / Haas,3.5,321.0,,San Francisco,2018-12-11,Round 1,General Management,
Harvard Business School,3.85,321.0,Traditional Two-Year,"Hong Kong, SAR",2023-12-06,Round 1,Finance,Interview went ~10 min overtime. Received update in the application portal at 12EST!
MIT Sloan,3.7,321.0,,NYC,2018-12-19,Round 1,,I am so happy! good luck to all.
Berkeley / Haas,3.47,321.0,,San Francisco,2018-03-19,Round 2,Consulting,
Columbia,3.5,321.0,,New York,2020-12-29,Rolling Admissions,,
Columbia,3.7,321.0,,NYC,2020-01-29,Rolling Admissions,Marketing,"Applied 12/17, interview invite 1/15, interview 1/25, accepted 1/29"
Columbia,3.9,321.0,Traditional Two-Year,,2021-08-30,Early Decision,Consulting,"Application Submitted: 7/23, Invitation to Interview: 8/12, Interview: 8/16, Interview Feedback Submitted: 8/16, Accepted: 8/30"
Yale SOM,3.6,321.0,,"Washington, DC",2020-03-13,Round 2,Non Profit / Social Impact,Got a call from an AO around 10:30am
Harvard Business School,3.54,321.0,,,2021-03-30,Round 2,General Management,
Oxford / Saïd,3.6,321.0,,NY,2020-12-11,Round 2,,
Harvard Business School,3.6,321.0,,DC,2020-04-01,Round 2,Non Profit / Social Impact,
MIT Sloan,3.6,321.0,,DC,2020-04-01,Round 2,Non Profit / Social Impact,accepted with $$$
Berkeley / Haas,3.75,321.0,Traditional Two-Year,Boston,2023-03-21,Round 2,Consulting,I am international student from Europe but currently live in Boston. Got an email earlier today to schedule a zoom call and just hopped of the call. Good luck to everyone else!
Berkeley / Haas,3.7,321.0,,Menlo Park,2020-05-06,Round 3,Consulting,
Berkeley / Haas,3.5,321.0,,California,2020-05-20,Round 2,Entrepreneurship,
MIT Sloan,3.76,321.0,,"Boston, MA",2020-03-02,Round 1,Technology,LGO
Columbia,3.96,320.0,Traditional Two-Year,California,2024-03-20,Round 2,Healthcare,
Berkeley / Haas,3.4,320.0,Traditional Two-Year,Seattle,2023-06-22,Round 3,Entrepreneurship,"IT'S NOT OVER UNTIL THEY SAY IT'S OVER ... Rejection is sometimes GOD's RE-DIRECTION. 8 months ago, I decided to apply for Business School and went for Stanford GSB Round 2 (the only school I applied to). Although I have always been smitten by the Excellence of the Mighty Berkeley College of Engineering, it was not until March 2023 that I checked Berkeley Haas for the first time, just by curiosity and I couldn't believe how EXCELLENT Haas was for Technology Entrepreneurship, way better that Stanford GSB for my Post-MBA goals. So, I applied for Haas MBA Round 3 a few hours before their deadline and it was the BEST Decision of my Life. Ultimately, I ended up being rejected by GSB but it felt sweet because Haas was everything I wanted and I got in. An advice, for any MBA applicant: Don't follow the hype and the school prestige; Go with the Business School that most fits your Post-MBA goals and you won't regret it."
Columbia,3.7,320.0,,NYC,2020-09-23,Early Decision,Finance,"CBS really looks at your whole application beyond just your test scores. For more info: I went to an Ivy for undergrad, going into a family business, GRE breakdown was Q163, V157. Was accepted for J-Term. Timeline: applied 8/8, interview invite 9/11, interview 9/16 (with adcom), received call at 9:30am this morning! Couldn't be more excited! Don't doubt yourself, CBS really looks at the overall quality of the candidate. Good luck to everyone!"
Cambridge / Judge,3.5,320.0,,"London, UK (US Citizen)",2021-03-09,Round 3,Entrepreneurship,Interviewed 2/24; received an acceptance email today. Thrilled! Deciding between staying in UK or heading back to the States for MBA
Cambridge / Judge,3.4,320.0,,UK,2019-03-12,Round 3,Other,Will wait for the results from Oxford
Cambridge / Judge,3.5,320.0,,London,2019-03-12,Round 3,Technology,
Columbia,2.5,320.0,Traditional Two-Year,,2023-12-18,Round 1,Finance,"Applied R3 last cycle, interviewed and was waitlisted, but was rejected in August. Reapplied R1, admitted 12/13."
Columbia,3.0,320.0,Traditional Two-Year,New York,2022-05-22,Rolling Admissions,Technology,"Applied on 1/5, interviewed on 2/7, waitlisted on 3/3, and accepted from waitlist on 5/18. I had a call with the waitlist manager in March, submitted an update in April, spoke with the waitlist manager again (she reached out) the day before getting accepted to confirm my interest in CBS."
MIT Sloan,3.96,320.0,Traditional Two-Year,California,2024-05-16,Round 2,Healthcare,
Oxford / Saïd,3.5,320.0,,Tokyo,2019-03-22,Round 3,Other,
Harvard Business School,3.7,320.0,,,2020-07-28,Round 3,Healthcare,Got into the 2+2 program! So stoked!
Berkeley / Haas,3.96,320.0,Traditional Two-Year,,2022-03-23,Round 2,Non Profit / Social Impact,
MIT Sloan,3.75,320.0,,East Coast,2018-12-19,Round 1,Non Profit / Social Impact,Called by the interviewer at 10:37 am ET
MIT Sloan,3.6,320.0,,,2020-07-15,Round 3,Healthcare,Admitted to the Early MBA program!
Berkeley / Haas,3.96,320.0,Traditional Two-Year,California,2024-03-21,Round 2,Healthcare,"Very happy, they’re still making calls y’all"
Berkeley / Haas,3.8,320.0,Traditional Two-Year,Washington DC,2024-03-21,Round 2,Consulting,
Oxford / Saïd,3.9,320.0,Traditional Two-Year,Ecuador,2021-10-26,Round 1,Consulting,
Harvard Business School,3.6,320.0,,Denver,2020-04-01,Round 2,Technology,MS/MBA SEAS admit and ecstatic to attend. HBS makes it nearly impossible to want to go anywhere else. Admissions team is exceptionally thoughtful and personalizes every part of the process.
Cambridge / Judge,3.6,320.0,,USA,2020-06-25,Round 5,Consulting,
Oxford / Saïd,3.3,320.0,,usa,2020-06-03,Round 4,Non Profit / Social Impact,
Harvard Business School,3.9,320.0,Traditional Two-Year,,2022-12-09,Round 1,Technology,
Columbia,3.75,320.0,,Washington DC,2021-02-24,Rolling Admissions,General Management,"Applied 1/2, interviewed 2/10, feedback sent on 2/11. Got the call this morning! Took almost exactly two weeks to hear back and that seems to be the norm so good luck to those still waiting!"
MIT Sloan,3.96,320.0,,Boston,2017-12-19,Round 1,Finance,
Harvard Business School,3.9,320.0,,California,2019-06-05,Round 3,,2+2 admit -- still in disbelief and so excited!!!
Columbia,3.6,320.0,,New York,2019-09-11,Early Decision,Finance,Applied 8/8. Interview invite 9/5. Interview 9/10. Acceptance 9/11!!
Berkeley / Haas,3.5,320.0,,"Washington, DC",2020-12-14,Round 1,Consulting,Received a call at 8:45 PM ET.
Berkeley / Haas,3.6,320.0,,US,2020-12-14,Round 1,Finance,
Columbia,3.9,320.0,January Intake,New York,2022-11-18,Rolling Admissions,Entrepreneurship,"Application submitted: 9/22, Interview Invite: 10/6| Interview & Feedback Submitted: 10/29| Waitlisted: 11/2 | Accepted:11/18"
Berkeley / Haas,3.6,320.0,Traditional Two-Year,NYC area,2023-12-06,Round 1,Healthcare,Got a call around 3:30 ET
MIT Sloan,3.44,320.0,,Boston,2019-12-18,Round 1,Non Profit / Social Impact,
Columbia,3.72,320.0,Traditional Two-Year,"Atlanta, Georgia",2023-12-13,Round 1,Healthcare,
Columbia,3.7,320.0,January Intake,London,2024-07-31,Round 1,Entrepreneurship,
Columbia,3.66,320.0,,Nyc,2021-01-06,Rolling Admissions,Other,"Applied Nov 17th, invited to interview 12/28, interviewed with an alum on 1/4, she submitted feedback an hour later and I got a call from admissions at 5pm on 1/6! I am so excited! I work in media/sports FYI and another friend who also got in CBS said his timeline from interview to acceptance was the same as ED"
Oxford / Saïd,3.45,319.0,,,2020-07-10,Round 5,,URM; masters Ivy League; top liberal school undergrad USA ; developing country
Berkeley / Haas,3.7,319.0,,New York,2020-03-24,Round 2,General Management,"Got a call 10 minutes ago. Last name starts with ""B"". No $ though!"
Harvard Business School,3.63,319.0,,,2021-03-30,Round 2,,
Columbia,3.63,319.0,,Boston,2021-02-25,Rolling Admissions,Non Profit / Social Impact,"Applied: 1/6, Interviewed: 2/5, Feedback Submitted: 2/12, Accepted: 2/25"
Oxford / Saïd,3.38,319.0,One Year Program,India,2024-03-21,Round 2,Non Profit / Social Impact,Interviewed on Feb 16. No info on scholarships yet.
Berkeley / Haas,3.58,319.0,,Indiana,2020-06-29,Round 3,,
Berkeley / Haas,3.8,319.0,Traditional Two-Year,New York,2024-03-19,Round 2,Entrepreneurship,
Columbia,3.8,319.0,,,2020-07-28,Round 1,,
Yale SOM,3.9,319.0,Traditional Two-Year,New York,2023-03-24,Round 2,Technology,
Berkeley / Haas,3.8,319.0,Traditional Two-Year,,2023-03-21,Round 2,Non Profit / Social Impact,
Yale SOM,3.67,319.0,Traditional Two-Year,,2023-03-24,Round 2,Finance,Some solace from Wharton ding yesterday. This school has been the nicest to me in this process.
Stanford GSB,3.89,319.0,Traditional Two-Year,,2024-05-21,Round 3,,
Berkeley / Haas,3.8,319.0,,,2020-07-01,Round 3,Consulting,
Oxford / Saïd,3.5,319.0,,,2019-03-22,Round 3,,
Berkeley / Haas,3.3,319.0,Traditional Two-Year,CO,2023-05-10,Round 2,Technology,
Oxford / Saïd,3.79,319.0,,"Midwest, US",2019-03-22,Round 3,Technology,
MIT Sloan,3.3,319.0,Traditional Two-Year,"CO, USA",2023-04-03,Round 2,Technology,Got the call 1145EST. Absolute dream school!
Berkeley / Haas,3.45,319.0,Traditional Two-Year,San Francisco,2023-03-22,Round 2,Non Profit / Social Impact,Received the call at 8:22pm! Hang on folks - good news is still rolling out! Best of luck!
Columbia,3.18,319.0,Traditional Two-Year,,2023-12-13,Round 1,General Management,
Berkeley / Haas,3.61,318.0,,Washington DC,2020-05-20,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.7,318.0,,San Diego,2020-12-15,Round 1,,
